Customer ID,City,Country,Location Code,Gender,Marital Status,Education,Employment Status,Income (USD),Effective To Date,Customer Lifetime Value (USD),Coverage,Monthly Premium Auto (USD),Number of Policies,Policy Type,Policy,Months Since Policy Inception,Months Since Last Claim,Sales Channel,Response,Renew Offer Type,Number of Open Complaints,Total Claim Amount (USD),Vehicle Class,Vehicle Size
UN97379,Jaww,Bahrain,Suburban,M,Divorced,Bachelor,Retired,"18,608.00",17-Feb-11,"2,538.63",Basic,71.00,1,Corporate Auto,Corporate L3,24,13,Web,Yes,Offer2,0,340.80,Four-Door Car,Medsize
MR57294,Riffa,Bahrain,Suburban,M,Married,High School or Below,Employed,"73,168.00",10-Jan-11,"5,639.94",Basic,70.00,3,Personal Auto,Personal L3,50,21,Agent,Yes,Offer2,0,425.80,Four-Door Car,Medsize
LK74984,Manama,Bahrain,Suburban,M,Married,High School or Below,Employed,"21,190.00",12-Jan-11,"2,459.17",Basic,65.00,1,Personal Auto,Personal L3,68,24,Call Center,No,Offer2,2,312.00,Four-Door Car,Medsize
DX31066,Manama,Bahrain,Rural,F,Married,College,Employed,"94,041.00",10-Feb-11,"2,667.27",Basic,66.00,1,Personal Auto,Personal L3,11,14,Agent,No,Offer3,0,159.76,Four-Door Car,Medsize
GL20444,Sitra,Bahrain,Rural,F,Married,Master,Employed,"91,474.00",4-Jan-11,"13,778.37",Premium,113.00,2,Corporate Auto,Corporate L3,99,9,Branch,No,Offer3,0,24.09,Two-Door Car,Large
SP58110,Riffa,Bahrain,Suburban,F,Married,Bachelor,Employed,"61,469.00",16-Jan-11,"4,923.18",Basic,63.00,3,Personal Auto,Personal L3,65,16,Branch,No,Offer3,5,302.40,Four-Door Car,Small
XM91635,Saar,Bahrain,Urban,F,Single,High School or Below,Medical Leave,"16,618.00",5-Jan-11,"2,272.34",Basic,62.00,1,Special Auto,Special L2,40,0,Branch,No,Offer3,0,219.29,Four-Door Car,Medsize
TV82603,Riffa,Bahrain,Urban,F,Married,Bachelor,Employed,"48,081.00",21-Jan-11,"14,895.40",Basic,188.00,5,Personal Auto,Personal L3,12,31,Branch,No,Offer1,0,881.36,Luxury SUV,Small
BB82067,Jaww,Bahrain,Rural,M,Married,Doctor,Employed,"67,632.00",2-Jan-11,"9,756.04",Extended,121.00,4,Personal Auto,Personal L3,44,0,Branch,No,Offer1,0,26.95,Sports Car,Medsize
JP94676,Jaww,Bahrain,Urban,F,Married,Bachelor,Employed,"34,115.00",16-Feb-11,"9,422.97",Basic,119.00,6,Personal Auto,Personal L2,73,6,Agent,No,Offer1,0,466.12,SUV,Medsize
VU53417,Saar,Bahrain,Suburban,M,Divorced,High School or Below,Medical Leave,"23,051.00",1-Jan-11,"3,837.36",Extended,99.00,1,Personal Auto,Personal L1,86,31,Agent,No,Offer1,0,475.20,Two-Door Car,Medsize
IW54795,Riffa,Bahrain,Suburban,M,Married,College,Medical Leave,"23,748.00",16-Feb-11,"10,952.13",Extended,99.00,2,Personal Auto,Personal L2,24,0,Agent,No,Offer2,0,607.10,Four-Door Car,Large
RN78170,Saar,Bahrain,Suburban,F,Divorced,College,Employed,"40,589.00",15-Jan-11,"8,159.14",Basic,69.00,2,Corporate Auto,Corporate L3,68,23,Branch,No,Offer4,0,331.20,Four-Door Car,Medsize
IX55883,Riffa,Bahrain,Urban,F,Single,College,Employed,"50,809.00",2-Jan-11,"19,480.50",Extended,83.00,2,Personal Auto,Personal L1,58,29,Branch,No,Offer1,0,290.38,Four-Door Car,Medsize
XM72420,Saar,Bahrain,Suburban,F,Married,High School or Below,Employed,"66,676.00",5-Jan-11,"3,919.37",Extended,97.00,1,Personal Auto,Personal L2,40,0,Agent,Yes,Offer3,0,558.10,Four-Door Car,Small
GC15104,Sitra,Bahrain,Suburban,F,Divorced,Bachelor,Employed,"52,339.00",21-Feb-11,"7,985.14",Basic,70.00,2,Corporate Auto,Corporate L3,55,7,Web,No,Offer3,3,336.00,Four-Door Car,Medsize
RX13282,Jaww,Bahrain,Suburban,M,Divorced,Bachelor,Retired,"14,973.00",5-Feb-11,"12,168.74",Basic,115.00,2,Personal Auto,Personal L3,75,2,Branch,Yes,Offer1,0,828.00,SUV,Medsize
QA85890,Saar,Bahrain,Suburban,F,Single,High School or Below,Unemployed,0.00,14-Jan-11,"5,849.32",Extended,83.00,4,Corporate Auto,Corporate L2,47,2,Agent,No,Offer3,0,540.51,Four-Door Car,Medsize
IR62668,Saar,Bahrain,Rural,F,Divorced,Bachelor,Employed,"31,546.00",10-Feb-11,"5,085.84",Basic,65.00,9,Personal Auto,Personal L3,83,4,Branch,No,Offer1,0,100.05,Four-Door Car,Medsize
AL96740,Riffa,Bahrain,Rural,F,Married,College,Employed,"67,763.00",12-Jan-11,"2,903.94",Basic,73.00,1,Personal Auto,Personal L3,69,17,Agent,No,Offer1,1,59.86,Four-Door Car,Medsize
QC55306,Manama,Bahrain,Urban,M,Married,High School or Below,Employed,"83,170.00",15-Jan-11,"31,162.69",Extended,97.00,2,Personal Auto,Personal L2,53,0,Agent,No,Offer2,0,344.12,Four-Door Car,Medsize
VO78441,Manama,Bahrain,Suburban,F,Single,Master,Medical Leave,"19,464.00",10-Feb-11,"3,086.87",Extended,84.00,1,Personal Auto,Personal L2,94,10,Agent,No,Offer3,1,871.51,Four-Door Car,Small
JH62891,Jaww,Bahrain,Rural,F,Married,College,Employed,"66,943.00",2-Feb-11,"5,178.70",Basic,65.00,7,Special Auto,Special L2,10,33,Call Center,No,Offer3,1,53.08,Four-Door Car,Medsize
FI20423,Saar,Bahrain,Rural,F,Married,High School or Below,Employed,"81,872.00",19-Feb-11,"14,024.36",Premium,115.00,2,Special Auto,Special L1,55,10,Web,Yes,Offer2,0,256.44,Four-Door Car,Medsize
XF57481,Manama,Bahrain,Rural,M,Single,Master,Employed,"50,450.00",19-Jan-11,"10,640.94",Extended,90.00,2,Personal Auto,Personal L3,68,11,Branch,No,Offer4,0,135.89,Two-Door Car,Medsize
YV67971,Riffa,Bahrain,Rural,F,Married,High School or Below,Employed,"21,342.00",21-Jan-11,"4,949.80",Basic,62.00,3,Personal Auto,Personal L2,72,34,Agent,No,Offer3,0,74.35,Four-Door Car,Medsize
QD31377,Riffa,Bahrain,Suburban,M,Married,Bachelor,Employed,"34,621.00",8-Jan-11,"8,595.67",Basic,108.00,8,Corporate Auto,Corporate L3,32,21,Branch,No,Offer1,1,621.46,SUV,Medsize
YG10247,Jaww,Bahrain,Suburban,M,Married,College,Employed,"62,396.00",20-Jan-11,"22,951.89",Basic,64.00,2,Personal Auto,Personal L2,18,13,Call Center,No,Offer3,0,307.20,Four-Door Car,Small
FE73696,Jaww,Bahrain,Urban,M,Married,High School or Below,Employed,"97,212.00",7-Jan-11,"3,792.13",Extended,93.00,1,Personal Auto,Personal L1,61,28,Call Center,No,Offer2,0,360.06,Two-Door Car,Medsize
SW19699,Saar,Bahrain,Rural,F,Divorced,Bachelor,Employed,"49,648.00",7-Jan-11,"2,755.75",Basic,70.00,1,Personal Auto,Personal L3,23,0,Call Center,No,Offer2,0,65.95,Four-Door Car,Medsize
QJ40732,Saar,Bahrain,Suburban,M,Married,College,Employed,"97,984.00",23-Jan-11,"4,880.34",Basic,61.00,5,Personal Auto,Personal L2,36,1,Agent,No,Offer2,1,407.45,Four-Door Car,Small
HM76207,Riffa,Bahrain,Suburban,F,Married,College,Employed,"26,308.00",3-Feb-11,"9,051.91",Basic,114.00,3,Corporate Auto,Corporate L3,30,10,Web,No,Offer3,0,547.20,SUV,Medsize
NT59303,Jaww,Bahrain,Suburban,F,Divorced,College,Employed,"63,528.00",17-Jan-11,"10,115.45",Premium,256.00,1,Personal Auto,Personal L3,23,15,Agent,No,Offer2,0,"1,228.80",Luxury Car,Large
PU41393,Sitra,Bahrain,Suburban,M,Married,College,Medical Leave,"20,225.00",18-Feb-11,"8,269.08",Basic,114.00,6,Special Auto,Special L2,64,27,Call Center,No,Offer3,1,547.20,SUV,Small
QO86948,Sitra,Bahrain,Suburban,M,Single,High School or Below,Unemployed,0.00,18-Feb-11,"8,071.65",Basic,112.00,7,Personal Auto,Personal L3,84,3,Web,No,Offer1,0,806.40,SUV,Small
QN10888,Jaww,Bahrain,Rural,F,Married,High School or Below,Employed,"87,620.00",24-Jan-11,"7,726.99",Basic,64.00,2,Personal Auto,Personal L3,15,3,Call Center,No,Offer3,0,24.06,Four-Door Car,Medsize
VY19543,Riffa,Bahrain,Urban,F,Married,Bachelor,Unemployed,0.00,26-Jan-11,"8,311.14",Basic,72.00,2,Corporate Auto,Corporate L2,79,22,Agent,No,Offer2,0,311.33,Four-Door Car,Medsize
XC15133,Sitra,Bahrain,Rural,F,Single,Master,Employed,"34,990.00",14-Jan-11,"2,574.02",Basic,65.00,1,Personal Auto,Personal L3,73,23,Web,Yes,Offer2,0,42.69,Four-Door Car,Medsize
ST43550,Jaww,Bahrain,Suburban,M,Married,Bachelor,Employed,"99,934.00",26-Jan-11,"5,727.33",Basic,71.00,3,Special Auto,Special L3,12,9,Web,No,Offer4,0,460.32,Four-Door Car,Medsize
YT69858,Manama,Bahrain,Urban,F,Married,Bachelor,Employed,"85,702.00",7-Jan-11,"5,441.42",Basic,67.00,6,Personal Auto,Personal L2,74,9,Branch,No,Offer4,0,249.09,Two-Door Car,Medsize
JX68983,Jaww,Bahrain,Suburban,M,Divorced,Bachelor,Employed,"94,648.00",9-Feb-11,"2,744.52",Basic,69.00,1,Personal Auto,Personal L2,64,19,Branch,No,Offer1,0,331.20,Four-Door Car,Medsize
HX78576,Riffa,Bahrain,Urban,F,Married,High School or Below,Employed,"24,516.00",25-Jan-11,"5,636.74",Basic,71.00,8,Personal Auto,Personal L3,23,11,Call Center,No,Offer3,0,300.61,Four-Door Car,Medsize
ZQ11381,Saar,Bahrain,Urban,M,Married,Bachelor,Employed,"61,063.00",21-Jan-11,"16,870.39",Extended,85.00,2,Personal Auto,Personal L2,4,21,Agent,No,Offer2,0,262.50,Four-Door Car,Medsize
ON39271,Riffa,Bahrain,Urban,M,Married,Master,Unemployed,0.00,21-Feb-11,"2,738.00",Basic,74.00,1,Personal Auto,Personal L2,91,27,Branch,No,Offer1,0,263.37,Two-Door Car,Medsize
SB18278,Jaww,Bahrain,Suburban,M,Divorced,Bachelor,Unemployed,0.00,14-Feb-11,"4,644.70",Basic,64.00,6,Corporate Auto,Corporate L1,71,23,Branch,No,Offer3,0,307.20,Four-Door Car,Small
ZT30559,Riffa,Bahrain,Suburban,F,Married,High School or Below,Disabled,"15,169.00",28-Jan-11,"4,746.69",Basic,63.00,3,Personal Auto,Personal L3,15,34,Web,No,Offer4,0,302.40,Four-Door Car,Medsize
XI41106,Saar,Bahrain,Urban,M,Married,College,Employed,"55,390.00",5-Feb-11,"16,874.33",Basic,71.00,2,Corporate Auto,Corporate L3,29,34,Branch,No,Offer3,0,256.27,Two-Door Car,Medsize
ZS88847,Jaww,Bahrain,Suburban,F,Married,Bachelor,Disabled,"27,592.00",20-Feb-11,"2,387.61",Basic,62.00,1,Personal Auto,Personal L3,29,6,Branch,No,Offer1,0,297.60,Four-Door Car,Large
KR48903,Manama,Bahrain,Suburban,M,Married,High School or Below,Employed,"88,264.00",27-Feb-11,"2,504.91",Basic,62.00,1,Personal Auto,Personal L3,34,8,Branch,No,Offer1,0,297.60,Two-Door Car,Medsize
KR62797,Saar,Bahrain,Suburban,F,Married,High School or Below,Employed,"83,297.00",1-Jan-11,"4,591.63",Basic,113.00,1,Personal Auto,Personal L2,28,6,Call Center,No,Offer2,0,542.40,SUV,Medsize
ZJ73220,Saar,Bahrain,Suburban,F,Single,College,Unemployed,0.00,24-Jan-11,"13,092.59",Basic,188.00,7,Special Auto,Special L2,82,35,Call Center,No,Offer1,0,"1,353.60",Luxury Car,Medsize
FY62633,Jaww,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,14-Jan-11,"9,112.27",Extended,90.00,2,Personal Auto,Personal L1,21,21,Agent,No,Offer1,0,432.00,Four-Door Car,Medsize
CU36986,Riffa,Bahrain,Suburban,F,Married,High School or Below,Employed,"55,897.00",2-Feb-11,"4,165.17",Premium,104.00,1,Personal Auto,Personal L1,5,33,Branch,No,Offer1,0,499.20,Four-Door Car,Medsize
WZ53904,Saar,Bahrain,Rural,M,Single,Bachelor,Employed,"21,297.00",11-Jan-11,"2,659.98",Basic,71.00,1,Personal Auto,Personal L3,56,26,Agent,No,Offer2,0,45.51,Four-Door Car,Medsize
AA71604,Saar,Bahrain,Suburban,F,Married,Master,Employed,"87,560.00",17-Jan-11,"11,986.59",Extended,98.00,2,Personal Auto,Personal L2,86,4,Web,No,Offer1,1,470.40,Two-Door Car,Medsize
TD10493,Jaww,Bahrain,Suburban,F,Single,High School or Below,Unemployed,0.00,26-Jan-11,"2,898.73",Extended,96.00,1,Personal Auto,Personal L2,7,5,Agent,No,Offer2,4,691.20,Four-Door Car,Medsize
LY97989,Jaww,Bahrain,Suburban,F,Single,Bachelor,Unemployed,0.00,17-Feb-11,"2,894.24",Extended,85.00,1,Personal Auto,Personal L3,53,3,Agent,No,Offer3,0,408.00,Four-Door Car,Medsize
VX39856,Saar,Bahrain,Rural,F,Married,Doctor,Employed,"89,398.00",13-Feb-11,"3,500.45",Extended,86.00,1,Personal Auto,Personal L3,57,5,Branch,No,Offer4,0,82.41,Four-Door Car,Medsize
TP51897,Riffa,Bahrain,Suburban,F,Married,College,Employed,"36,843.00",20-Feb-11,"2,621.81",Basic,68.00,1,Corporate Auto,Corporate L1,11,12,Agent,No,Offer4,3,357.64,Four-Door Car,Medsize
QQ89253,Jaww,Bahrain,Suburban,F,Married,College,Unemployed,0.00,22-Jan-11,"10,221.81",Extended,134.00,4,Personal Auto,Personal L3,16,23,Agent,No,Offer1,0,643.20,SUV,Small
EI91403,Riffa,Bahrain,Suburban,M,Married,High School or Below,Employed,"34,946.00",22-Feb-11,"2,578.27",Basic,65.00,1,Personal Auto,Personal L3,63,30,Call Center,No,Offer2,0,420.36,Two-Door Car,Small
QG15435,Saar,Bahrain,Rural,F,Married,College,Employed,"75,680.00",19-Jan-11,"6,242.60",Extended,78.00,6,Personal Auto,Personal L3,6,27,Agent,No,Offer2,0,136.79,Four-Door Car,Medsize
FZ55002,Sitra,Bahrain,Suburban,F,Married,Doctor,Unemployed,0.00,14-Feb-11,"5,220.28",Basic,69.00,7,Personal Auto,Personal L3,13,23,Agent,No,Offer4,0,331.20,Four-Door Car,Small
KU29408,Manama,Bahrain,Rural,M,Single,Master,Employed,"37,722.00",26-Jan-11,"9,075.77",Basic,116.00,8,Corporate Auto,Corporate L3,23,8,Agent,Yes,Offer1,0,158.08,Sports Car,Medsize
UN37063,Saar,Bahrain,Urban,M,Single,Bachelor,Medical Leave,"10,269.00",31-Jan-11,"4,525.37",Basic,65.00,3,Personal Auto,Personal L1,5,12,Agent,No,Offer1,0,170.80,Two-Door Car,Medsize
VB87946,Riffa,Bahrain,Urban,M,Married,College,Employed,"49,714.00",6-Feb-11,"4,970.36",Basic,63.00,4,Personal Auto,Personal L3,64,29,Branch,No,Offer3,3,266.17,Four-Door Car,Medsize
AB60627,Riffa,Bahrain,Rural,M,Married,High School or Below,Employed,"77,517.00",28-Jan-11,"15,467.79",Extended,129.00,2,Corporate Auto,Corporate L2,20,19,Branch,No,Offer3,0,98.92,SUV,Medsize
TA34903,Jaww,Bahrain,Urban,M,Married,High School or Below,Employed,"81,082.00",6-Jan-11,"5,838.90",Basic,73.00,4,Personal Auto,Personal L1,85,5,Agent,Yes,Offer2,0,281.30,Four-Door Car,Large
AQ51368,Jaww,Bahrain,Suburban,F,Married,Bachelor,Employed,"72,540.00",27-Feb-11,"10,656.88",Extended,88.00,2,Corporate Auto,Corporate L3,3,7,Call Center,Yes,Offer2,0,631.74,Two-Door Car,Medsize
NZ26102,Jaww,Bahrain,Suburban,F,Single,High School or Below,Unemployed,0.00,28-Feb-11,"2,289.62",Basic,65.00,1,Personal Auto,Personal L3,58,8,Branch,No,Offer2,0,468.00,Four-Door Car,Small
GB45753,Riffa,Bahrain,Rural,M,Married,High School or Below,Employed,"61,546.00",25-Jan-11,"5,439.80",Basic,68.00,3,Corporate Auto,Corporate L2,27,4,Call Center,No,Offer4,0,29.21,Two-Door Car,Large
BV79904,Riffa,Bahrain,Rural,F,Divorced,Master,Employed,"44,818.00",13-Feb-11,"7,956.15",Basic,67.00,2,Personal Auto,Personal L3,41,25,Web,No,Offer1,1,136.88,Two-Door Car,Medsize
OB49075,Saar,Bahrain,Suburban,M,Divorced,Bachelor,Retired,"17,622.00",2-Jan-11,"4,458.11",Basic,65.00,3,Personal Auto,Personal L3,36,1,Agent,Yes,Offer1,1,312.00,Four-Door Car,Medsize
DS97676,Jaww,Bahrain,Suburban,F,Single,College,Unemployed,0.00,3-Feb-11,"2,555.05",Basic,72.00,1,Personal Auto,Personal L2,24,14,Agent,No,Offer2,0,518.40,Four-Door Car,Large
JO63462,Riffa,Bahrain,Rural,M,Divorced,Bachelor,Employed,"79,797.00",28-Feb-11,"3,308.00",Extended,84.00,1,Corporate Auto,Corporate L2,46,27,Branch,No,Offer4,0,31.76,Two-Door Car,Medsize
WZ40465,Manama,Bahrain,Rural,F,Married,Bachelor,Employed,"36,234.00",30-Jan-11,"5,041.30",Basic,63.00,5,Personal Auto,Personal L3,44,0,Web,No,Offer3,0,113.53,Four-Door Car,Small
RS24501,Jaww,Bahrain,Suburban,F,Single,College,Employed,"28,919.00",11-Jan-11,"13,350.12",Premium,173.00,3,Personal Auto,Personal L2,88,5,Agent,No,Offer3,0,830.40,SUV,Medsize
VT78274,Saar,Bahrain,Suburban,M,Married,College,Unemployed,0.00,17-Jan-11,"4,931.22",Basic,68.00,8,Personal Auto,Personal L3,93,6,Agent,No,Offer1,0,480.16,Four-Door Car,Medsize
SU56153,Sitra,Bahrain,Suburban,M,Married,Bachelor,Employed,"63,568.00",4-Jan-11,"7,776.84",Basic,65.00,2,Corporate Auto,Corporate L3,5,19,Agent,No,Offer4,0,390.79,Two-Door Car,Medsize
MN20737,Sitra,Bahrain,Rural,F,Married,College,Employed,"73,935.00",26-Feb-11,"2,553.67",Basic,64.00,1,Corporate Auto,Corporate L3,29,13,Call Center,No,Offer4,1,72.07,Four-Door Car,Medsize
KL43114,Saar,Bahrain,Suburban,F,Married,High School or Below,Unemployed,0.00,27-Jan-11,"4,876.47",Basic,66.00,3,Corporate Auto,Corporate L2,56,15,Branch,No,Offer2,0,316.80,Two-Door Car,Medsize
YQ15567,Jaww,Bahrain,Suburban,F,Married,Bachelor,Medical Leave,"18,846.00",4-Jan-11,"9,034.31",Basic,115.00,3,Personal Auto,Personal L2,84,16,Agent,No,Offer1,0,552.00,SUV,Small
TR88637,Saar,Bahrain,Rural,F,Single,High School or Below,Employed,"38,893.00",11-Feb-11,"8,105.91",Basic,103.00,9,Personal Auto,Personal L1,40,19,Agent,No,Offer2,0,41.97,SUV,Small
TC88986,Jaww,Bahrain,Suburban,M,Married,High School or Below,Unemployed,0.00,26-Jan-11,"5,619.69",Premium,153.00,1,Special Auto,Special L1,5,25,Web,Yes,Offer2,0,"1,027.00",SUV,Medsize
XX88577,Riffa,Bahrain,Rural,M,Married,Bachelor,Employed,"84,824.00",28-Feb-11,"15,727.13",Premium,196.00,9,Corporate Auto,Corporate L1,4,7,Branch,No,Offer2,0,319.82,SUV,Small
NE49052,Riffa,Bahrain,Urban,F,Married,High School or Below,Medical Leave,"20,068.00",7-Feb-11,"6,618.02",Extended,86.00,3,Corporate Auto,Corporate L2,28,8,Web,No,Offer1,0,411.01,Four-Door Car,Medsize
KX17826,Jaww,Bahrain,Suburban,M,Married,Doctor,Unemployed,0.00,25-Feb-11,"4,670.05",Extended,125.00,1,Corporate Auto,Corporate L3,34,21,Branch,No,Offer1,0,600.00,SUV,Medsize
CC91503,Saar,Bahrain,Suburban,F,Married,High School or Below,Unemployed,0.00,3-Jan-11,"10,169.37",Extended,135.00,8,Personal Auto,Personal L3,61,32,Agent,No,Offer1,0,648.00,Sports Car,Medsize
WH32183,Riffa,Bahrain,Rural,M,Divorced,Bachelor,Employed,"97,245.00",20-Jan-11,"8,323.07",Basic,70.00,2,Personal Auto,Personal L3,29,29,Web,No,Offer2,0,4.11,Four-Door Car,Medsize
ES90681,Riffa,Bahrain,Suburban,F,Married,College,Employed,"51,808.00",26-Feb-11,"2,417.76",Basic,61.00,1,Personal Auto,Personal L2,12,3,Agent,No,Offer1,1,351.15,Four-Door Car,Small
DW96592,Riffa,Bahrain,Urban,M,Married,Bachelor,Employed,"71,391.00",19-Feb-11,"8,044.87",Basic,67.00,2,Personal Auto,Personal L3,39,29,Agent,Yes,Offer2,0,284.00,Four-Door Car,Medsize
MT23134,Jaww,Bahrain,Suburban,M,Married,High School or Below,Unemployed,0.00,21-Feb-11,"5,325.72",Basic,73.00,7,Personal Auto,Personal L3,44,17,Call Center,Yes,Offer2,0,496.47,Two-Door Car,Medsize
BM69081,Saar,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,28-Jan-11,"6,947.52",Basic,100.00,7,Personal Auto,Personal L1,54,5,Call Center,No,Offer2,0,925.14,SUV,Medsize
MB90871,Jaww,Bahrain,Rural,F,Married,College,Medical Leave,"23,496.00",26-Jan-11,"5,847.42",Extended,77.00,8,Special Auto,Special L1,88,17,Web,No,Offer3,0,13.16,Four-Door Car,Medsize
QR15221,Manama,Bahrain,Suburban,F,Married,High School or Below,Employed,"22,562.00",4-Jan-11,"2,584.20",Basic,65.00,1,Personal Auto,Personal L3,81,4,Branch,No,Offer1,0,312.00,Two-Door Car,Medsize
QL77686,Sitra,Bahrain,Urban,F,Married,College,Employed,"23,986.00",5-Jan-11,"4,724.79",Basic,119.00,1,Corporate Auto,Corporate L3,3,31,Call Center,No,Offer2,0,463.34,SUV,Small
ON77827,Saar,Bahrain,Urban,F,Married,Master,Medical Leave,"22,974.00",5-Feb-11,"2,790.23",Basic,71.00,1,Personal Auto,Personal L3,8,0,Call Center,No,Offer4,0,180.67,Four-Door Car,Large
KP18988,Jaww,Bahrain,Suburban,F,Single,High School or Below,Unemployed,0.00,19-Jan-11,"21,531.33",Premium,101.00,2,Personal Auto,Personal L3,35,21,Branch,No,Offer1,0,484.80,Four-Door Car,Medsize
TI92884,Saar,Bahrain,Suburban,M,Divorced,Bachelor,Employed,"61,844.00",15-Feb-11,"12,622.83",Basic,106.00,2,Personal Auto,Personal L2,74,19,Call Center,No,Offer1,0,508.80,Sports Car,Small
JH73503,Saar,Bahrain,Suburban,M,Married,Doctor,Employed,"24,804.00",1-Feb-11,"20,171.96",Basic,73.00,2,Personal Auto,Personal L2,98,19,Call Center,No,Offer3,0,350.40,Two-Door Car,Small
YE97964,Riffa,Bahrain,Urban,F,Married,Bachelor,Employed,"27,760.00",9-Feb-11,"16,464.37",Basic,104.00,2,Personal Auto,Personal L2,71,13,Web,No,Offer1,0,302.76,SUV,Small
VA30351,Jaww,Bahrain,Suburban,F,Single,High School or Below,Employed,"74,454.00",5-Feb-11,"5,595.39",Basic,71.00,3,Personal Auto,Personal L2,29,25,Call Center,Yes,Offer2,0,340.80,Four-Door Car,Medsize
PV55726,Jaww,Bahrain,Suburban,F,Single,Master,Employed,"29,462.00",17-Jan-11,"4,170.69",Basic,107.00,1,Personal Auto,Personal L2,23,28,Branch,Yes,Offer2,1,513.60,SUV,Large
UC88305,Saar,Bahrain,Rural,F,Single,College,Employed,"52,266.00",23-Feb-11,"2,665.45",Basic,68.00,1,Corporate Auto,Corporate L1,98,14,Call Center,No,Offer1,0,141.92,Two-Door Car,Medsize
TS53809,Jaww,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,7-Feb-11,"7,098.91",Basic,70.00,2,Personal Auto,Personal L1,99,18,Agent,No,Offer1,0,349.78,Two-Door Car,Medsize
ZV32120,Riffa,Bahrain,Suburban,M,Single,Doctor,Employed,"23,599.00",26-Feb-11,"3,971.35",Basic,103.00,1,Corporate Auto,Corporate L3,46,20,Agent,No,Offer2,0,494.40,SUV,Medsize
FB80807,Jaww,Bahrain,Suburban,M,Single,Bachelor,Employed,"36,088.00",19-Jan-11,"5,528.21",Basic,72.00,9,Personal Auto,Personal L3,31,16,Agent,Yes,Offer1,0,345.60,Four-Door Car,Medsize
AS55677,Riffa,Bahrain,Rural,F,Divorced,High School or Below,Employed,"70,534.00",15-Jan-11,"8,339.00",Premium,104.00,3,Personal Auto,Personal L2,71,31,Branch,No,Offer3,0,54.07,Four-Door Car,Medsize
WA15684,Jaww,Bahrain,Suburban,M,Married,College,Employed,"27,398.00",29-Jan-11,"38,445.86",Extended,125.00,2,Personal Auto,Personal L1,71,4,Call Center,No,Offer4,1,600.00,SUV,Medsize
SA50567,Sitra,Bahrain,Suburban,M,Married,Bachelor,Employed,"85,296.00",7-Jan-11,"5,448.56",Basic,68.00,6,Personal Auto,Personal L3,47,15,Web,No,Offer3,0,342.52,Four-Door Car,Medsize
KJ31611,Saar,Bahrain,Suburban,M,Married,High School or Below,Employed,"31,063.00",30-Jan-11,"10,808.07",Extended,92.00,2,Personal Auto,Personal L2,19,20,Agent,No,Offer2,0,441.60,Four-Door Car,Small
VL37375,Riffa,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,25-Feb-11,"6,185.10",Extended,92.00,3,Personal Auto,Personal L3,28,8,Branch,No,Offer1,0,"1,027.18",Two-Door Car,Small
KN21017,Sitra,Bahrain,Urban,M,Married,High School or Below,Employed,"52,367.00",21-Jan-11,"3,208.23",Extended,81.00,1,Personal Auto,Personal L1,64,25,Call Center,No,Offer2,0,275.99,Four-Door Car,Medsize
PX44289,Saar,Bahrain,Suburban,M,Single,College,Employed,"58,651.00",15-Feb-11,"5,480.10",Basic,71.00,3,Personal Auto,Personal L2,95,6,Call Center,No,Offer4,0,472.60,Four-Door Car,Medsize
AM97901,Sitra,Bahrain,Suburban,F,Single,College,Employed,"84,831.00",23-Jan-11,"22,986.15",Premium,192.00,2,Special Auto,Special L1,37,13,Branch,No,Offer1,0,"1,336.93",Sports Car,Medsize
RE42925,Jaww,Bahrain,Suburban,M,Divorced,Bachelor,Employed,"49,088.00",28-Feb-11,"13,107.93",Basic,114.00,2,Corporate Auto,Corporate L2,87,17,Branch,No,Offer3,1,547.20,SUV,Small
TR81766,Riffa,Bahrain,Rural,F,Married,College,Employed,"70,263.00",28-Jan-11,"7,462.93",Extended,93.00,5,Corporate Auto,Corporate L2,66,30,Call Center,Yes,Offer2,0,7.35,Two-Door Car,Small
CH85057,Jaww,Bahrain,Rural,F,Married,Doctor,Employed,"45,354.00",15-Jan-11,"11,463.99",Premium,285.00,1,Personal Auto,Personal L3,51,5,Agent,No,Offer4,0,540.14,Luxury SUV,Medsize
UP71482,Saar,Bahrain,Suburban,M,Married,High School or Below,Unemployed,0.00,11-Jan-11,"7,236.13",Basic,63.00,2,Personal Auto,Personal L1,73,11,Call Center,No,Offer3,0,383.36,Four-Door Car,Large
EG40670,Riffa,Bahrain,Suburban,F,Single,Bachelor,Disabled,"28,334.00",8-Jan-11,"6,232.69",Extended,83.00,7,Special Auto,Special L3,44,3,Agent,No,Offer1,0,537.77,Four-Door Car,Medsize
HV83672,Jaww,Bahrain,Urban,F,Married,Bachelor,Employed,"38,772.00",9-Feb-11,"28,393.33",Extended,90.00,2,Personal Auto,Personal L1,87,8,Branch,No,Offer1,0,321.87,Four-Door Car,Medsize
MG10140,Jaww,Bahrain,Rural,F,Married,College,Employed,"41,479.00",26-Feb-11,"3,746.75",Extended,94.00,1,Personal Auto,Personal L1,38,14,Call Center,Yes,Offer2,1,19.58,Two-Door Car,Large
